job_name,crawling_time,company_name,salary,salary_section,city,area,experience,educational,company_size,company_direction,skills,job_url,company_url
大数据架构师,2022-01-02 14:17:34,国产ERP厂商,30-50k·16薪,50k+,北京,,统招本科,10年以上,10000人以上,计算机软件,系统设计|Hadoop|IT/信息化领域|架构设计,https://www.liepin.com/a/32895575.shtml?d_sfrom=search_prime&d_ckId=f7c76535063ebfe38392e35f4d1f3326&d_curPage=7&d_pageSize=40&d_headId=f7c76535063ebfe38392e35f4d1f3326&d_posi=33&skId=4a04281f56b425c002659e8b9b0aca72&fkId=4a04281f56b425c002659e8b9b0aca72&ckId=4a04281f56b425c002659e8b9b0aca72&sfrom=search_job_pc&curPage=7&pageSize=40&index=33,
高级研发工程师,2022-01-02 14:17:34,某新能源汽车公司,20-40k,26-30k,南京,,统招本科,经验不限,10000人以上,汽车/摩托车,Oracle|架构设计,https://www.liepin.com/a/32888299.shtml?d_sfrom=search_prime&d_ckId=f7c76535063ebfe38392e35f4d1f3326&d_curPage=7&d_pageSize=40&d_headId=f7c76535063ebfe38392e35f4d1f3326&d_posi=34&skId=4a04281f56b425c002659e8b9b0aca72&fkId=4a04281f56b425c002659e8b9b0aca72&ckId=4a04281f56b425c002659e8b9b0aca72&sfrom=search_job_pc&curPage=7&pageSize=40&index=34,
数据架构师,2022-01-02 14:17:34,某计算机公司,25-45k·15薪,40-50k,上海,,本科及以上,3-5年,100-499人,计算机软件,数据开发|数据建模|数据治理|数据分析,https://www.liepin.com/a/32875687.shtml?d_sfrom=search_prime&d_ckId=f7c76535063ebfe38392e35f4d1f3326&d_curPage=7&d_pageSize=40&d_headId=f7c76535063ebfe38392e35f4d1f3326&d_posi=35&skId=4a04281f56b425c002659e8b9b0aca72&fkId=4a04281f56b425c002659e8b9b0aca72&ckId=4a04281f56b425c002659e8b9b0aca72&sfrom=search_job_pc&curPage=7&pageSize=40&index=35,
数据架构师,2022-01-02 14:17:34,某计算机公司,25-45k·15薪,40-50k,上海,,本科及以上,3-5年,100-499人,计算机软件,数据开发|数据建模|数据治理|数据分析,https://www.liepin.com/a/32875623.shtml?d_sfrom=search_prime&d_ckId=f7c76535063ebfe38392e35f4d1f3326&d_curPage=7&d_pageSize=40&d_headId=f7c76535063ebfe38392e35f4d1f3326&d_posi=36&skId=4a04281f56b425c002659e8b9b0aca72&fkId=4a04281f56b425c002659e8b9b0aca72&ckId=4a04281f56b425c002659e8b9b0aca72&sfrom=search_job_pc&curPage=7&pageSize=40&index=36,
大数据应用研发工程师（云原生）,2022-01-02 14:17:34,互联网三巨头之一,25-50k·16薪,40-50k,北京,海淀区,统招本科,3-5年,10000人以上,互联网/电商,,https://www.liepin.com/a/32857167.shtml?d_sfrom=search_prime&d_ckId=f7c76535063ebfe38392e35f4d1f3326&d_curPage=7&d_pageSize=40&d_headId=f7c76535063ebfe38392e35f4d1f3326&d_posi=37&skId=4a04281f56b425c002659e8b9b0aca72&fkId=4a04281f56b425c002659e8b9b0aca72&ckId=4a04281f56b425c002659e8b9b0aca72&sfrom=search_job_pc&curPage=7&pageSize=40&index=37,
大数据运维架构师,2022-01-02 14:17:34,某SaaS头部企业,80-110k,50k+,北京,,本科及以上,10年以上,1000-2000人,互联网/电商,运维管理|Docker|技术战略|架构设计,https://www.liepin.com/a/32850283.shtml?d_sfrom=search_prime&d_ckId=f7c76535063ebfe38392e35f4d1f3326&d_curPage=7&d_pageSize=40&d_headId=f7c76535063ebfe38392e35f4d1f3326&d_posi=38&skId=4a04281f56b425c002659e8b9b0aca72&fkId=4a04281f56b425c002659e8b9b0aca72&ckId=4a04281f56b425c002659e8b9b0aca72&sfrom=search_job_pc&curPage=7&pageSize=40&index=38,
大数据运维架构师,2022-01-02 14:17:34,某知名SaaS头部公司,70-90k,50k+,北京,,本科及以上,10年以上,1000-2000人,CRM,运维管理|Docker|技术战略|云计算领域|架构设计,https://www.liepin.com/a/32847517.shtml?d_sfrom=search_prime&d_ckId=f7c76535063ebfe38392e35f4d1f3326&d_curPage=7&d_pageSize=40&d_headId=f7c76535063ebfe38392e35f4d1f3326&d_posi=39&skId=4a04281f56b425c002659e8b9b0aca72&fkId=4a04281f56b425c002659e8b9b0aca72&ckId=4a04281f56b425c002659e8b9b0aca72&sfrom=search_job_pc&curPage=7&pageSize=40&index=39,
高级爬虫开发工程师,2022-01-02 14:17:36,众安在线财产保险,25-40k,30-35k,上海,黄浦区,本科及以上,5-10年,2000-5000人,互联网/电商,MongoDB|MySQL|Java|Python|框架开发|框架设计,https://www.liepin.com/job/1922770671.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=0&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=0,https://www.liepin.com/company/7962446/
java爬虫工程师,2022-01-02 14:17:37,北京迅奥科技有限公司,8-15k,10-14k,北京,海淀区,本科及以上,3-5年,融资未公开,互联网/电商,,https://www.liepin.com/job/1920389625.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=1&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=1,https://www.liepin.com/company/8788561/
爬虫工程师,2022-01-02 14:17:37,南京迈煜创信息科技有限公司,12-18k,14-18k,南京,,本科及以上,3-5年,1-49人,IT服务,架构设计|需求分析,https://www.liepin.com/job/1938994663.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=2&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=2,https://www.liepin.com/company/12145707/
爬虫工程师,2022-01-02 14:17:37,易有料,15-25k·14薪,22-26k,杭州,,本科及以上,经验不限,100-499人,企业服务软件,网络开发|系统开发,https://www.liepin.com/job/1944807303.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=3&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=3,https://www.liepin.com/company/12158593/
爬虫工程师,2022-01-02 14:17:37,易有料,20-30k·13薪,26-30k,杭州,滨江区,统招本科,3-5年,100-499人,企业服务软件,网络开发|系统开发,https://www.liepin.com/job/1944539929.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=4&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=4,https://www.liepin.com/company/12158593/
python爬虫工程师,2022-01-02 14:17:37,佛山市尚夏网络科技有限公司,9-15k,10-14k,佛山,顺德区,大专及以上,经验不限,融资未公开,计算机软件,Scrapy,https://www.liepin.com/job/1943874591.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=5&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=5,https://www.liepin.com/company/9745315/
爬虫工程师,2022-01-02 14:17:37,杭州右侧智能科技有限责任公司,10-20k·13薪,14-18k,杭州,余杭区,大专及以上,1-3年,1-49人,教育培训,网络开发|系统开发,https://www.liepin.com/job/1943736925.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=6&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=6,https://www.liepin.com/company/12957709/
爬虫工程师（抖音/媒体数据方向）,2022-01-02 14:17:37,青木科技,15-25k,18-22k,广州,,统招本科,1-3年,1000-2000人,电子商务,Redis|MySQL|图像开发,https://www.liepin.com/job/1941572847.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=7&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=7,https://www.liepin.com/company/9293871/
python爬虫工程师,2022-01-02 14:17:37,NewDada新达达,20-35k·14薪,30-35k,北京,大兴区,统招本科,经验不限,1000-2000人,互联网/电商,网络开发|系统开发|Android|架构设计|Java,https://www.liepin.com/job/1940189799.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=8&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=8,https://www.liepin.com/company/8512676/
软件开发工程师（爬虫开发岗）,2022-01-02 14:17:37,中国移动通信有限公司研究院,16-32k·13薪,22-26k,北京,,统招本科,3-5年,500-999人,通信业,Django|网络开发|Scrapy|MongoDB|Python|系统开发|框架开发|框架设计,https://www.liepin.com/job/1918187021.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=9&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=9,https://www.liepin.com/company/9122701/
数据挖掘工程师(爬虫),2022-01-02 14:17:37,中科苏州智能计算技术研究院,10-12k·15薪,10-14k,苏州,,本科及以上,1-3年,50-99人,计算机软件,Java|数据挖掘|Scala|Python|IT/信息化领域,https://www.liepin.com/job/1940967979.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=10&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=10,https://www.liepin.com/company/10284737/
数据爬虫工程师,2022-01-02 14:17:37,上海大智慧财汇数据科技有限公司,12-20k,14-18k,合肥,蜀山区,统招本科,经验不限,1000-2000人,企业服务软件,界面开发|Redis|MongoDB|MySQL|框架开发|SQL|框架设计,https://www.liepin.com/job/1929257683.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=11&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=11,https://www.liepin.com/company/2052877/
python爬虫开发工程师,2022-01-02 14:17:37,北京达冠信息技术有限公司,20-35k·14薪,30-35k,北京,大兴区,统招本科,3-5年,1000-2000人,互联网/电商,网络开发|Android|Java|系统开发|架构设计,https://www.liepin.com/job/1940067841.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=12&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=12,https://www.liepin.com/company/9725511/
爬虫工程师,2022-01-02 14:17:37,NewDada新达达,20-40k·14薪,30-35k,北京,大兴区,本科及以上,经验不限,1000-2000人,互联网/电商,网络开发|Java|系统开发|架构设计,https://www.liepin.com/job/1940080279.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=13&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=13,https://www.liepin.com/company/8512676/
爬虫工程师,2022-01-02 14:17:37,郑州信大先进技术研究院,7-12k·13薪,10-14k,郑州,高新区,本科及以上,1-3年,100-499人,计算机软件,网络开发|系统开发,https://www.liepin.com/job/1939836133.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=15&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=15,https://www.liepin.com/company/9479030/
爬虫数据工程师,2022-01-02 14:17:37,上海笃诚投资管理有限公司,8-16k,10-14k,杭州,上城区,本科及以上,1-3年,1-49人,专业服务,Java|Python,https://www.liepin.com/job/1935300993.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=16&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=16,https://www.liepin.com/company/12439711/
爬虫工程师,2022-01-02 14:17:37,360,15-35k·15薪,30-35k,北京,,统招本科,3-5年,2000-5000人,互联网/电商,网络开发|系统开发|架构设计|Java|Python,https://www.liepin.com/job/1939667931.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=17&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=17,https://www.liepin.com/company/6429309/
爬虫工程师,2022-01-02 14:17:37,郑州信大先进技术研究院,7-12k·13薪,10-14k,郑州,高新区,本科及以上,1-3年,100-499人,计算机软件,网络开发|系统开发,https://www.liepin.com/job/1939281661.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=18&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=18,https://www.liepin.com/company/9479030/
python爬虫工程师,2022-01-02 14:17:37,成都西辰软件有限公司,10-20k,14-18k,成都,,统招本科,3-5年,50-99人,计算机软件,网络开发|系统开发|Java|Python|架构设计,https://www.liepin.com/job/1938502515.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=19&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=19,https://www.liepin.com/company/7858532/
数据工程师,2022-01-02 14:17:37,宁波太平鸟时尚服饰股份有限公司,30-60k,40-50k,宁波,,硕士及以上,5-10年,5000-10000人,服装纺织,Python|网络开发|框架开发|框架设计,https://www.liepin.com/job/1934649171.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=20&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=20,https://www.liepin.com/company/7877126/
高级爬虫工程师,2022-01-02 14:17:37,苏宁云商金融公司,15-30k,22-26k,南京,,统招本科,3-5年,10000人以上,互联网金融,架构设计|需求分析,https://www.liepin.com/job/1931481969.shtml?d_sfrom=search_prime&d_ckId=f0e31e11b41fbcf13537e1f5c35d8601&d_curPage=6&d_pageSize=40&d_headId=f0e31e11b41fbcf13537e1f5c35d8601&d_posi=21&skId=f21e270c84ce3b09a5d6fc68f5b720da&fkId=f21e270c84ce3b09a5d6fc68f5b720da&ckId=f21e270c84ce3b09a5d6fc68f5b720da&sfrom=search_job_pc&curPage=6&pageSize=40&index=21,https://www.liepin.com/company/8346751/
